[63FD6149]
;FEI-1210016
AF6F,1.95,7317,-5161,-667
B5D8,1.95,8059,-3992,-421
BB40,1.95,8515,-2917,-197
C228,1.95,8920,-1489,113
C90B,1.95,8979,-16,419
CFDE,1.95,8829,1442,724
D32F,1.95,8673,2125,867
D8FE,1.95,8259,3301,1116
E26E,1.95,7220,5033,1488
E7A3,1.95,6502,5891,1664
ECF6,1.95,5642,6633,1816
F3D2,1.95,4416,7433,1972
FAA9,1.95,3073,8032,2106
FC93,1.95,2688,8159,2126
0539,1.95,884,8493,2188
101C,1.95,-1411,8384,2163
1597,1.95,-2544,8112,2097
1A8C,1.95,-3536,7754,2021
2173,1.95,-4831,7069,1869
2C9E,1.95,-6607,5513,1531
2FD7,1.95,-7051,4985,1417
4BC2,1.95,-8672,-600,204
5306,1.95,-8398,-2124,-130
5C01,1.95,-7719,-3900,-508
6488,1.95,-6727,-5405,-820
6AFC,1.95,-5757,-6391,-1020
7558,1.95,-3934,-7623,-1276
78E1,1.95,-3234,-7921,-1335
8344,1.95,-1090,-8512,-1443
864C,1.95,-442,-8581,-1454
8B8F,1.95,669,-8591,-1450
8F53,1.90,1530,-8754,-1461
9684,1.90,3060,-8401,-1398
9E2F,1.90,4617,-7739,-1252
A873,1.90,6455,-6426,-955
AFB4,1.90,7518,-5230,-692
B6FD,1.90,8341,-3848,-391
BEC9,1.90,8915,-2240,-42
CCB7,1.90,9121,791,600
D8A4,1.90,8493,3317,1141
E09F,1.90,7609,4828,1467
F296,1.90,4739,7458,1997
FE64,1.90,2355,8422,2184
0BEA,1.90,-543,8671,2237
1061,1.90,-1505,8548,2205
181F,1.90,-3125,8110,2103
1E56,1.90,-4355,7557,1974
24B6,1.90,-5507,6803,1808
2C76,1.90,-6720,5650,1552
327B,1.90,-7524,4623,1330
39E9,1.90,-8258,3179,1013
4135,1.90,-8715,1665,684
4C33,1.90,-8858,-709,172
54E1,1.90,-8490,-2556,-227
5BB8,1.90,-7899,-3922,-515
66C0,1.90,-6565,-5894,-924
6B8C,1.90,-5787,-6599,-1070
78B1,1.90,-3353,-8104,-1370
7F6C,1.90,-1960,-8548,-1450
8465,1.90,-875,-8741,-1482
893A,1.90,177,-8813,-1485
8D5B,1.85,1120,-9015,-1504
A08E,1.85,5185,-7653,-1193
A6D4,1.85,6341,-6825,-1004
AF5E,1.85,7647,-5412,-695
B9EB,1.85,8807,-3338,-244
C5F3,1.85,9382,-710,361
D0EB,1.85,9192,1740,881
D8A2,1.85,8656,3380,1248
E28C,1.85,7536,5296,1605
F012,1.85,5320,7347,2015
FE0A,1.85,2484,8618,2262
0537,1.85,908,8875,2328
0D77,1.85,-908,8856,2290
14AC,1.85,-2485,8553,2211
1BC8,1.85,-3971,8014,2073
25E8,1.85,-5868,6825,1778
2CAC,1.85,-6963,5786,1526
37A2,1.85,-8312,3759,1139
402C,1.85,-8944,1949,743
466A,1.85,-9117,559,454
4DFF,1.85,-9054,-1130,89
643E,1.85,-7120,-5636,-857
6DFA,1.85,-5544,-7140,-1159
7DA5,1.85,-2402,-8718,-1454
84DE,1.85,-803,-9027,-1517
86A4,1.85,-400,-9060,-1550
88D6,1.85,85,-9080,-1548
88C1,1.85,66,-9082,-1570
8A44,1.85,405,-9082,-1588
8D02,1.85,1034,-9056,-1564
8E7A,1.80,1408,-9257,-1542
99B8,1.80,3925,-8612,-1405
AF21,1.80,7837,-5617,-741
BB74,1.80,9181,-3100,-198
C724,1.80,9645,-449,369
D196,1.80,9403,1941,879
DA0E,1.80,8744,3773,1273
E02E,1.80,8046,4989,1538
E7A1,1.80,6957,6320,1812
F28C,1.80,4968,7828,2114
F8DD,1.80,3674,8456,2231
0148,1.80,1826,8969,2329
0B9F,1.80,-511,9102,2343
1050,1.80,-1569,8976,2308
1B29,1.80,-3929,8255,2148
2347,1.80,-5523,7341,1949
2CBC,1.80,-7119,5896,1636
37D9,1.80,-8519,3792,1172
54DC,1.80,-8927,-2685,-234
5B44,1.80,-8336,-4025,-521
65EB,1.80,-7006,-6037,-939
73B7,1.80,-4562,-8015,-1341
80D9,1.80,-1745,-9069,-1541
85C0,1.80,-618,-9220,-1560
89DA,1.80,319,-9266,-1560
91A7,1.70,2240,-9670,-1540
A3A9,1.70,6284,-7928,-1023
B51D,1.70,9080,-4722,-137
C45E,1.70,10162,-1158,528
CEF3,1.70,10054,1418,1127
DEC9,1.70,8664,4984,1939
E845,1.70,7220,6796,2239
F133,1.70,5489,8087,2558
F487,1.70,4782,8470,2657
04A7,1.70,1094,9578,2670
13E1,1.70,-2532,9315,2500
22D3,1.70,-5790,7845,2016
2CCF,1.70,-7617,6316,1245
36AF,1.70,-8953,4325,744
4CBC,1.70,-9869,-896,-287
5D68,1.70,-8628,-4716,-939
6BA2,1.70,-6460,-7375,-1348
7851,1.70,-3846,-9039,-1445
7FC3,1.70,-2118,-9600,-1452
8569,1.70,-742,-9818,-1437
8910,1.70,143,-9866,-1397
8E4F,1.60,1497,-10327,-1694
982A,1.60,3966,-9730,-1569
A0F1,1.60,6010,-8739,-1358
A931,1.60,7701,-7429,-1057
B300,1.60,9297,-5448,-442
BE8C,1.60,10478,-2699,-29
CA6B,1.60,10782,355,610
D8DA,1.60,9894,3965,1381
E456,1.60,8338,6464,1894
EBC0,1.60,6962,7790,2166
F4F1,1.60,4988,9061,2411
FF9B,1.60,2426,9956,2576
0DC7,1.60,-1130,10150,2590
1AFF,1.60,-4379,9287,2400
2193,1.60,-5840,8484,2223
265A,1.60,-6825,7757,2068
2B87,1.60,-7756,6830,1863
35B1,1.60,-9310,4750,1416
3F37,1.60,-10212,2470,923
4888,1.60,-10498,104,412
5BAB,1.60,-9373,-4630,-589
6675,1.60,-7775,-6888,-1055
6F79,1.60,-6043,-8411,-1359
75A9,1.60,-4677,-9214,-1513
7C5B,1.60,-3085,-9865,-1633
829A,1.60,-1526,-10249,-1699
850E,1.60,-895,-10324,-1710
8885,1.60,-10,-10381,-1713
89B1,1.60,285,-10376,-1712
8F27,1.50,1786,-10871,-1775
983D,1.50,4192,-10267,-1635
A2FB,1.50,6798,-8926,-1347
B1AA,1.50,9603,-6055,-712
C55A,1.50,11354,-1002,355
CD35,1.50,11316,1150,807
DC9A,1.50,10014,5121,1645
E708,1.50,8313,7399,2103
F478,1.50,5368,9529,2517
051A,1.50,1106,10755,2734
14B2,1.50,-3024,10359,2633
1F83,1.50,-5688,9240,2395
25DB,1.50,-7101,8272,2188
2CBF,1.50,-8434,6981,1914
3D09,1.50,-10605,3171,1094
48AB,1.50,-11080,69,428
63D5,1.50,-8680,-6742,-992
6F18,1.50,-6472,-8820,-1412
799A,1.50,-3966,-10165,-1668
7D61,1.50,-2998,-10496,-1724
84FE,1.50,-970,-10882,-1789
